round,loss,ce_loss,teacher_mse,examples,seconds,peak_gpu_mib,round_communication_bytes
1,0.6505218540405411,0.6288034922633225,0.00021718361777218527,6251,189.38956434605643,1417.50390625,11796480
2,0.6411825875513404,0.6172345732715413,0.0002394801427979907,6251,189.81588308815844,1413.5693359375,11796480
3,0.6324416014861075,0.6050250311917945,0.0002741657029431299,6251,191.2157566549722,1419.77734375,11796480
4,0.6231080908048372,0.5917674592408165,0.00031340631564020664,6251,191.14836512203328,1424.8603515625,11796480
5,0.6151785472860583,0.5793251321249763,0.00035853415161082083,6251,190.84506619093008,1418.623046875,11796480
6,0.6062339075976901,0.5658138126352759,0.0004042009501006751,6251,191.20789484702982,1417.50390625,11796480
7,0.6023965712402517,0.5535139626882442,0.0004888260882364682,6251,190.71901801298372,1423.7353515625,11796480
8,0.5995163397643536,0.5418433217485821,0.0005767301879377882,6251,188.47231304598972,1416.9384765625,11796480
9,0.599480375701428,0.5316174051551212,0.0006786297257879657,6251,189.97407705103979,1424.8603515625,11796480
10,0.5948452674327813,0.5197919085042041,0.0007505336278169074,6251,191.1312212930061,1416.9384765625,11796480
