round,loss,ce_loss,teacher_mse,examples,seconds,peak_gpu_mib,round_communication_bytes
1,0.6587798692231231,0.6336452692592148,0.000251345999639083,6251,188.73030835017562,1413.5693359375,11796480
2,0.6483386701904624,0.6212850069344337,0.0002705366325602889,6251,190.73809924791567,1413.5693359375,11796480
3,0.6395023107282048,0.6084358656534183,0.00031066445074786367,6251,189.47747127804905,1413.5693359375,11796480
4,0.6289175794247185,0.5933323815400997,0.0003558519788461871,6251,187.7377495879773,1418.623046875,11796480
5,0.6199934795267871,0.5784771816427503,0.0004151629788403682,6251,187.93923452403396,1414.6943359375,11796480
6,0.6153967819699006,0.5627753418697218,0.0005262144026695741,6251,187.69652314204723,1414.6943359375,11796480
7,0.6135377883333399,0.549204276262633,0.0006433351284509948,6251,187.3426551518496,1414.6943359375,11796480
8,0.6135213478964007,0.5369600817317213,0.0007656126833891308,6251,189.70008754287846,1414.6943359375,11796480
9,0.6150742403163337,0.5273915857512319,0.0008768265845402348,6251,188.59760827291757,1424.8603515625,11796480
10,0.6183239622792529,0.5167448682850819,0.0010157909962597252,6251,189.61843420402147,1414.6943359375,11796480
