round,loss,hier_loss,table_loss,row_loss,cell_loss,hard_loss,kd_loss,kd_table_loss,kd_row_loss,kd_cell_loss,kd_weight,table_valid,row_valid,cell_valid,hard_hits,grad_norm_table,grad_norm_row,grad_norm_cell,grad_norm_hard,grad_norm_kd,fp16_overflow_skips,seconds,peak_gpu_mib,round_communication_bytes,dev_weighted_ndcg,dev_table_ndcg,dev_row_ndcg,dev_cell_ndcg,dev_worst_ndcg
1,3.8710585363571313,3.8400088437429614,4.493868762521885,4.107083626466649,3.047986396910047,0.15524846177684856,6.77841401965479e-05,7.305998076301393e-05,6.710996491140532e-05,5.9325546876695105e-05,0.0,6251,4793,4793,6251,0.06764936969357245,0.049227736867579114,0.027692015546167896,0.14270232004776404,0.0005196101958634738,0,537.6302828659536,11590.11669921875,11796480,0.21440019191329762,0.32484504666513614,0.2973066087848146,0.12047839988965203,0.10725224462181829
2,3.8711260181331886,3.8400083910208536,4.4949239814203805,4.094719512381706,3.0404615530837327,0.15549687012221133,7.302196000011569e-05,7.235241590821257e-05,6.710074740894787e-05,6.988784406962582e-05,0.25,6251,4793,4793,6251,0.07233086060217722,0.044344084002613623,0.02867835518843377,0.17141054791691376,0.0006759078862362748,0,538.3100207539974,11560.09130859375,11796480,0.22694429713550412,0.3321419509125294,0.31253800188381514,0.1335090127757074,0.1202202172125186
3,3.871119029557647,3.8397299766494895,4.496206081279943,4.081513108637847,3.0296455677725307,0.1567425619278922,8.107706494981859e-05,7.12209101877867e-05,6.989482517495314e-05,8.480341621394614e-05,0.5,6251,4793,4793,6251,0.1137748502955043,0.06839328709568528,0.05033099047077173,0.2076761235582426,0.0009093174797216031,0,538.1807417349191,11630.73095703125,11796480,0.2347007713591918,0.33666744162139595,0.32709423610161314,0.13847802440885731,0.12303441265251212
4,3.8737248437388434,3.841891584919235,4.4965651151103545,4.105374852423584,3.0472090004489343,0.1589797595563883,7.460691332218701e-05,6.894501431447789e-05,6.658309920151743e-05,7.526196845721175e-05,0.5,6251,4793,4793,6251,0.11955345014726051,0.07683235724789882,0.08229226766893485,0.2367523922099433,0.0014020877003537136,0,533.3570320591098,13000.615234375,11796480,0.23749736594849535,0.33696068403450724,0.3333199903868811,0.14021846405105917,0.1266723035200968
5,3.8732197798737733,3.841111747143425,4.4977224424866895,4.100873825672834,3.042701154264585,0.16039234008146025,5.913177155011439e-05,6.401633930621596e-05,5.799834521845547e-05,5.204683424935815e-05,0.5,6251,4793,4793,6251,0.13501276272131085,0.09209468120623023,0.05581214663334969,0.23775768790002536,0.0006574092494218575,0,535.0752733569825,11475.08642578125,11796480,0.23587410529169356,0.33675046063277736,0.3298697907759382,0.13912615186471322,0.12970942580912231
6,3.8787031741820766,3.84665088708546,4.496144763922475,4.090836236236077,3.03539004837909,0.16012895833450586,5.29814124104417e-05,6.176327780247646e-05,5.448946773698782e-05,4.261001685431229e-05,0.5,6251,4793,4793,6251,0.1405937484239858,0.08884090505309908,0.04584869635511048,0.28828492643537257,0.00036717315413826323,0,534.3649312220514,14727.865234375,11796480,0.23448257275698825,0.3348808141240902,0.3294240906623812,0.1373583654669117,0.12914564270794548
7,3.8668319054779796,3.8354866199695796,4.491199534163193,4.0924293524997175,3.034300309079265,0.15659252381201313,5.3562572932880995e-05,6.0400904910160724e-05,5.758357928744829e-05,4.2933649173996043e-05,0.5,6251,4793,4793,6251,0.15601259368244114,0.16580840941996047,0.1165861846984506,0.3201675494635585,0.001192529625368723,0,535.0932676260127,11533.8076171875,11796480,0.23180843465185103,0.3290875838359222,0.3282859205745447,0.13501028342460633,0.1259058673673057
8,3.858564045034794,3.8276008560007475,4.479283132040804,4.0902993536335845,3.03205292829251,0.1546661208538142,5.992981164679146e-05,6.470318413112978e-05,6.469872862680529e-05,4.930376107175747e-05,0.5,6251,4793,4793,6251,0.2021508479280543,0.08073834872769761,0.05263806162278832,0.34585114555436614,0.00029234258019941907,0,535.689213723992,11566.8017578125,11796480,0.22709845983163035,0.3190059310155887,0.32433259044636714,0.13199499298920495,0.12531175210032847
9,3.8511808507171565,3.8212275524008135,4.466346095330948,4.081132314732136,3.02754825285679,0.14958621185134255,7.210689830802146e-05,7.363254426746737e-05,7.833882354030837e-05,6.11105732198503e-05,0.5,6251,4793,4793,6251,0.26260503060710993,0.1799093104648372,0.1298314998046478,0.4363431390030924,0.0013877523630597645,0,535.185502807959,11574.47412109375,11796480,0.22101506145148353,0.3109157786844445,0.3161810364272034,0.12795518957286725,0.11947390903322899
10,3.834914419569687,3.805945435736295,4.449090351027919,4.050140143970414,3.0077791123185267,0.14461640759060698,9.140098804724859e-05,8.952097165522222e-05,9.800758458973571e-05,7.971764763023131e-05,0.5,6251,4793,4793,6251,0.2582296954941258,0.13017650540307568,0.07544538302303082,0.46461384171827713,0.0020901708698768348,0,532.887313098996,13014.71240234375,11796480,0.20977791005649493,0.2895897797544853,0.3012549702849994,0.12296692604019611,0.10891041125632567
