round,loss,hier_loss,table_loss,row_loss,cell_loss,hard_loss,kd_loss,kd_table_loss,kd_row_loss,kd_cell_loss,kd_weight,table_valid,row_valid,cell_valid,hard_hits,grad_norm_table,grad_norm_row,grad_norm_cell,grad_norm_hard,grad_norm_kd,fp16_overflow_skips,seconds,peak_gpu_mib,round_communication_bytes,dev_weighted_ndcg,dev_table_ndcg,dev_row_ndcg,dev_cell_ndcg,dev_worst_ndcg,agg_min_weight,agg_max_weight,agg_weight_std
1,3.871059374404963,3.8400096920806024,4.493869521909837,4.107084829764614,3.0479867679529615,0.1552484137196264,6.778115809680889e-05,7.305499901835827e-05,6.711104867608058e-05,5.932138807862254e-05,0.0,6251,4793,4793,6251,0.06764936969357245,0.049227736867579114,0.027692015546167896,0.14270232004776404,0.0005196101958634738,0,569.8913158579962,11590.11669921875,11796480,0.2143478195453189,0.3249265326306957,0.2971589384241871,0.12042966298384726,0.10719207493838784,0.1989206025156868,0.20079952504855023,0.0006080068321187177
2,3.8711238256777936,3.840006248904785,4.4949213515501745,4.094715107517942,3.040460673500088,0.15549662854364937,7.302329907756329e-05,7.236726472628979e-05,6.709646741377316e-05,6.98976557271597e-05,0.25,6251,4793,4793,6251,0.07229611335412232,0.04470898439877256,0.028478685517743636,0.17201493745296684,0.0006367640337692752,0,575.2961513249902,11560.09130859375,11796480,0.22643080562454315,0.3307976784263577,0.312004145102658,0.13334005281694844,0.12013812646741037,0.1989206025156868,0.20079952504855023,0.0006080068321187177
3,3.8711173141003687,3.8397282905464754,4.496202735078566,4.081511580550521,3.029643912349021,0.15674243538193333,8.107185296259641e-05,7.123011697702817e-05,6.991304076335376e-05,8.478041271692728e-05,0.5,6251,4793,4793,6251,0.11365428519319234,0.06848603953486147,0.04999587811992541,0.20751964521358168,0.000956818441464671,0,584.8568803720409,11630.73095703125,11796480,0.23512755750949405,0.3367115179314765,0.32765459237337907,0.13897775242237007,0.12230937693648322,0.1989206025156868,0.20079952504855023,0.0006080068321187177
4,3.873772925740014,3.8419591122785723,4.496809254852993,4.105229455755776,3.047298871507686,0.1588821086692802,7.47826384975525e-05,6.824299641779956e-05,6.679416571628634e-05,7.588171512302128e-05,0.5,6251,4793,4793,6251,0.1290421752049765,0.08077490941738794,0.07688103193245296,0.24347715406403958,0.001602214212946761,0,586.9842225200264,12998.0869140625,11796480,0.23741696511984364,0.3389973557700464,0.33337299210363747,0.13921119266948623,0.1261467509292379,0.1989206025156868,0.20079952504855023,0.0006080068321187177
5,3.873405482067674,3.8413220842104336,4.497918073332529,4.101106753174126,3.042797640191547,0.16026951839861886,5.898565365605426e-05,6.388944745169096e-05,5.7303944592053884e-05,5.217138916056195e-05,0.5,6251,4793,4793,6251,0.13491366096721039,0.09017585743280325,0.05773243547670823,0.2341999658671986,0.0006874196652004228,0,588.1661273459904,11471.13232421875,11796480,0.23637232386033336,0.3366343348232512,0.33075371788371744,0.13963868306113572,0.12990352765780322,0.1989206025156868,0.20079952504855023,0.0006080068321187177
6,3.8787469115132582,3.8466436043287073,4.496094242151684,4.090813932779664,3.03544003601662,0.1603848943225114,5.26591202853461e-05,6.036280501934244e-05,5.4843376158781955e-05,4.232660404638248e-05,0.5,6251,4793,4793,6251,0.14192733820252856,0.08539648186978428,0.04436676019672941,0.29852151678516436,0.0005356217732807188,0,587.9280432499945,14750.2578125,11796480,0.23357147734262607,0.33415138762334456,0.32868322913606396,0.13627246215427588,0.12640010552331288,0.1989206025156868,0.20079952504855023,0.0006080068321187177
7,3.8668039943325665,3.8354463752116548,4.4913306563552196,4.092016990603478,3.0343076748345443,0.1566537500322898,5.373096975122705e-05,6.109090934595642e-05,5.744755611936564e-05,4.296541194032169e-05,0.5,6251,4793,4793,6251,0.1587399567213646,0.1838061817327428,0.11244380816286506,0.314543281935296,0.0004905073636094543,0,588.393197832047,11561.29296875,11796480,0.23150339167547743,0.3283365967431545,0.32717945796330417,0.13536446987571055,0.1269258089192881,0.1989206025156868,0.20079952504855023,0.0006080068321187177
8,3.8584078573583667,3.8274467579078277,4.479163206636794,4.0901805732477685,3.0318681334181483,0.15465741120800325,5.9230400384008703e-05,6.499822243525807e-05,6.405904565060456e-05,4.819923624180814e-05,0.5,6251,4793,4793,6251,0.20359326006798648,0.08613428804103528,0.05020997061426525,0.33811531595515215,0.00031079377657581653,0,586.1720795789734,11597.662109375,11796480,0.2266518676181546,0.3188877575132341,0.32366068811152343,0.13155221936410147,0.12454146458492346,0.1989206025156868,0.20079952504855023,0.0006080068321187177
9,3.850957976304225,3.821058707648619,4.466248107085323,4.080894859034319,3.0273314491243464,0.1493138835095303,7.298576250034732e-05,7.423391142892272e-05,8.005455246290457e-05,6.14657581466479e-05,0.5,6251,4793,4793,6251,0.2490471194184115,0.1716419393100089,0.13476172651704088,0.4150596915277241,0.0013746860026881591,0,587.4231306489091,11603.45751953125,11796480,0.22032751259419536,0.30897751552331604,0.3152316412327411,0.12792503423941962,0.11941867167712221,0.1989206025156868,0.20079952504855023,0.0006080068321187177
10,3.834584052081511,3.8056563384368975,4.448580207975635,4.050203763342246,3.00738644658913,0.14441002916184228,9.141494787492403e-05,8.931284997503704e-05,9.742987099326597e-05,8.017808611797202e-05,0.5,6251,4793,4793,6251,0.26547064760842887,0.13125890743111435,0.0793779583022712,0.4729394524722172,0.0018644122626379745,0,583.9396894980455,13046.15673828125,11796480,0.2100906404514885,0.2902258541897612,0.3022169472653742,0.12276077086784802,0.10665888553137744,0.1989206025156868,0.20079952504855023,0.0006080068321187177
