round,loss,hier_loss,table_loss,row_loss,cell_loss,hard_loss,kd_loss,kd_table_loss,kd_row_loss,kd_cell_loss,kd_weight,table_valid,row_valid,cell_valid,hard_hits,grad_norm_table,grad_norm_row,grad_norm_cell,grad_norm_hard,grad_norm_kd,fp16_overflow_skips,seconds,peak_gpu_mib,round_communication_bytes,dev_weighted_ndcg,dev_table_ndcg,dev_row_ndcg,dev_cell_ndcg,dev_worst_ndcg,agg_min_weight,agg_max_weight,agg_weight_std
1,3.871059374404963,3.8400096920806024,4.493869521909837,4.107084829764614,3.0479867679529615,0.1552484137196264,6.778115809680889e-05,7.305499901835827e-05,6.711104867608058e-05,5.932138807862254e-05,0.0,6251,4793,4793,6251,0.06764936969357245,0.049227736867579114,0.027692015546167896,0.14270232004776404,0.0005196101958634738,0,585.0379219050519,11590.11669921875,11796480,0.21447976952381015,0.3249888582610928,0.2970428603504221,0.12073827953292994,0.10719207493838784,0.17313126073210086,0.21945006416190424,0.016059718839749697
2,3.8711112307122457,3.8399945422886876,4.494907662507206,4.094711592751998,3.0404452974999385,0.15549219320318292,7.300561331858117e-05,7.236652718990826e-05,6.707983294977246e-05,6.986732175815986e-05,0.25,6251,4793,4793,6251,0.07209537866458672,0.04455820343525399,0.028746892249056553,0.17192966559576076,0.0006110632946392442,0,584.6056125609903,11560.09130859375,11796480,0.22716788019388134,0.3316440500430809,0.3133735986957045,0.1336539811531076,0.11990495382120184,0.16976955672834437,0.22317800696935886,0.017828268139371363
3,3.8710841610579676,3.839696042033272,4.49616830778935,4.081494561994168,3.0296092084846102,0.1567380681389929,8.101950994210908e-05,7.123546789186932e-05,6.985017273135299e-05,8.470678959902997e-05,0.5,6251,4793,4793,6251,0.11450521874738064,0.06866493294389232,0.05049936054591597,0.20863073358477488,0.0009703947250633153,0,586.8473988389596,11630.73095703125,11796480,0.23484063198342103,0.3356182428175719,0.327474474232126,0.13894928230053769,0.12303441265251212,0.1677898925886102,0.22493017407294458,0.018746526633398743
4,3.873698990158972,3.8418872785682647,4.496730019841717,4.1051765036330075,3.047227849118507,0.15887183859231976,7.468632164857156e-05,6.826129992433602e-05,6.67366524824324e-05,7.571237207824256e-05,0.5,6251,4793,4793,6251,0.12893051281296536,0.08061212762334541,0.07677648515672843,0.2440951974254875,0.001590278358066152,0,590.4516350589693,12998.0869140625,11796480,0.2378794002096452,0.33862130892428943,0.3330998115624388,0.1404503899121113,0.12622280943758682,0.16963320659114753,0.22081742893612383,0.017053551094422057
5,3.873288138713496,3.841208695690569,4.497793882133145,4.101010548218263,3.042690991733065,0.1602496480586281,5.901983429049603e-05,6.396809481419051e-05,5.733112453752142e-05,5.218951786959727e-05,0.5,6251,4793,4793,6251,0.13480559521939692,0.08996493292606836,0.058374346566747705,0.2343856875595665,0.0007161471788519733,0,587.7965784879634,11471.13232421875,11796480,0.23525210067748725,0.3368421864738058,0.3291802311294688,0.1382591880877709,0.12799738290971668,0.17490647846217156,0.22052266818970231,0.015566777248812636
6,3.8785966845697946,3.8464977223007644,4.495938702042333,4.090694235793774,3.035302733368917,0.16036281557560184,5.2806145652495275e-05,6.047179778930858e-05,5.4960868735323826e-05,4.248381704250819e-05,0.5,6251,4793,4793,6251,0.1415922886901327,0.08469863452108686,0.044738150879117276,0.2989868061541996,0.0005531603833309597,0,586.923737312085,14750.2578125,11796480,0.2327193417585776,0.33279542617429625,0.3268298303157197,0.1362226148580049,0.12521695463271662,0.1757290382395481,0.22203134043013337,0.015683690490146656
7,3.8666267690756375,3.8352736313959337,4.491149536523589,4.091879299813043,3.0341389781325634,0.15663086387064779,5.3933147328358165e-05,6.120560555190039e-05,5.762483104278345e-05,4.3208774974635175e-05,0.5,6251,4793,4793,6251,0.1591968019557528,0.18360022556347774,0.11283231059967057,0.3130785595117068,0.0004636381200724431,0,588.0951933920151,11561.29296875,11796480,0.23067232380943956,0.3270822218186169,0.32580427467471623,0.13502919408660258,0.1239716594996758,0.17775163155579204,0.2214265548493934,0.01402194635186664
8,3.8581499377142237,3.8271978939378064,4.478894017382461,4.0899680087625425,3.0316374944562954,0.15461099016763533,5.9698517974178757e-05,6.529854572429564e-05,6.452087238957888e-05,4.871226673873927e-05,0.5,6251,4793,4793,6251,0.20406283197916877,0.08624391027827685,0.04969795227620854,0.33989571608550195,0.0003207803579565157,0,588.4303495869972,11597.662109375,11796480,0.22632672429179612,0.3184485936150656,0.32264226703574134,0.13168865091612117,0.12428930360713523,0.17896797347851887,0.21756996297621659,0.012654625041787217
9,3.8506058770849174,3.82071902674838,4.4658903038550415,4.080591981193657,3.0270183985092913,0.14924990977136401,7.372476871350282e-05,7.469408217854096e-05,8.078608352621875e-05,6.227513593469435e-05,0.5,6251,4793,4793,6251,0.24860443636797364,0.17098871592345374,0.13508265440801673,0.4156181419650804,0.001429109241357112,0,578.1222273929743,11603.45751953125,11796480,0.21981825539223215,0.3088221186378031,0.31452542948156037,0.12739240564040685,0.11721311010485877,0.17914842509428686,0.22016493015486752,0.013436818605806708
10,3.8340642266087928,3.805156044268608,4.448064001773084,4.049754582543354,3.0069221843521965,0.14430978875908176,9.244521760168968e-05,9.006448932946112e-05,9.84099077936662e-05,8.128228854832206e-05,0.5,6251,4793,4793,6251,0.26607836578937605,0.13147311017436997,0.07990079189465164,0.4746785090814007,0.0019144802669806948,0,553.3981421230128,13046.15673828125,11796480,0.20982896676118923,0.28809455218200414,0.3024694116224723,0.12293846567609344,0.10778710985391177,0.17974926961527665,0.2263614377412363,0.015701223334519804
