round,loss,ce_loss,teacher_mse,examples,seconds,peak_gpu_mib,round_communication_bytes
1,0.6502627095680672,0.6287700713000736,0.00021492638267993626,6251,187.0451982819941,1428.89599609375,11796480
2,0.6404140189657861,0.6162706086157604,0.00024143410350025617,6251,187.1920428009471,1424.8603515625,11796480
3,0.6310781875736053,0.6037838109522184,0.000272943766213869,6251,185.23364622995723,1415.25390625,11796480
4,0.6224713875455002,0.5906255255570351,0.000318458619884651,6251,183.93755732791033,1419.77734375,11796480
5,0.6143217139490864,0.5772532485359951,0.00037068465422622834,6251,185.7306458899984,1436.24072265625,11796480
6,0.6067421414536367,0.5644492551436379,0.00042292886362431175,6251,182.56041160598397,1428.89599609375,11796480
7,0.6040787837098134,0.5525545073023439,0.0005152427666003073,6251,184.1837507999735,1427.20556640625,11796480
8,0.5989237357894434,0.5404986330860185,0.0005842510348972208,6251,184.15166595904157,1416.9384765625,11796480
9,0.5959725280752175,0.5274226949577145,0.0006854983541916826,6251,182.96206083905417,1422.5927734375,11796480
10,0.5999884179353914,0.5200209940663687,0.0007996742787345015,6251,183.38855524698738,1416.9384765625,11796480
