round,loss,ce_loss,teacher_mse,examples,seconds,peak_gpu_mib,round_communication_bytes
1,0.6584623849256566,0.633626828056253,0.0002483555686940353,6251,187.915569882025,1414.6943359375,11796480
2,0.6475542716119908,0.6200559374009543,0.0002749833421103643,6251,186.3019843819784,1413.5693359375,11796480
3,0.6388897445978098,0.6065676816464757,0.0003232206295133408,6251,186.65562496101484,1414.6943359375,11796480
4,0.6290875405277252,0.5912973613013351,0.0003779017922639017,6251,186.47490199608728,1414.6943359375,11796480
5,0.6199131139084929,0.5759908559161784,0.0004392225800660601,6251,187.20972758205608,1414.6943359375,11796480
6,0.6136335679568969,0.5620064780415385,0.0005162709004401916,6251,186.15925975108985,1414.6943359375,11796480
7,0.6126654635951497,0.54913517781509,0.0006353028652346773,6251,186.65642498701345,1414.6943359375,11796480
8,0.6147003616341358,0.5364008870927397,0.0007829947658102288,6251,186.1754588750191,1414.6943359375,11796480
9,0.6144999632181171,0.5251575379689949,0.0008934242941205762,6251,187.79654981801286,1414.6943359375,11796480
10,0.6215054907138042,0.5179848230192714,0.0010352067330947727,6251,187.10482884407975,1414.6943359375,11796480
