round,loss,hier_loss,table_loss,row_loss,cell_loss,hard_loss,kd_loss,kd_table_loss,kd_row_loss,kd_cell_loss,kd_weight,table_valid,row_valid,cell_valid,hard_hits,grad_norm_table,grad_norm_row,grad_norm_cell,grad_norm_hard,grad_norm_kd,fp16_overflow_skips,seconds,peak_gpu_mib,round_communication_bytes
1,0.4656226106001022,0.44127522048353346,0.5779462874542418,0.35529467741229115,0.3905747266725913,0.12173695167546787,0.006155167237062717,0.008405369401346334,0.005139195821144374,0.005031078133373438,0.0,6251,4793,4793,6251,0.06764936969357245,0.049227736867579114,0.027692015546167896,0.14270232004776404,0.0005196101958634738,0,528.4320174559252,11586.9599609375,11796480
2,0.41004710417386564,0.38845938068488794,0.5027894814486004,0.3124746941399798,0.34681631802197777,0.10685031766275312,0.0008706398187888214,0.0009231092716899853,0.000726654709723816,0.0008624638412913329,0.25,6251,4793,4793,6251,0.6203213295215705,0.35973975879603387,0.3656672629486727,1.223013173074893,0.014731186051044993,0,528.8794202180579,11556.9990234375,11796480
3,0.398914501973881,0.3771874582233872,0.4897846127414206,0.30269434161012404,0.33435939088752775,0.10642246161116345,0.0008851014789975922,0.0009304423850889093,0.0007111826947069361,0.0008724320905620775,0.5,6251,4793,4793,6251,0.8475070538730339,0.46901369337485943,0.4520981678381917,1.2040416708072355,0.027844041878927688,0,527.4098078530515,11627.640625,11796480
4,0.3907649253133689,0.3694128008025095,0.48121544514444387,0.2980309094474399,0.3286216056402299,0.10445278078074473,0.0009231361490395115,0.0009567140156673849,0.0007660324545050353,0.000924883627750072,0.5,6251,4793,4793,6251,0.8773196817660505,0.5192468592764973,0.5025497138737632,1.6925760304954383,0.03415050278477245,0,528.0450479689753,12996.03173828125,11796480
5,0.39015840321230716,0.36840502437086664,0.47977902724674715,0.29511860812852053,0.3275029054929537,0.10620886728854695,0.0010232109565047665,0.0010866564305255725,0.0008113616309878151,0.0010239493462308009,0.5,6251,4793,4793,6251,0.8227430622510433,0.5258416518533678,0.4465246551665031,1.0234127082067765,0.032810430750631184,0,526.8144204929704,11467.9658203125,11796480
6,0.38781625182041085,0.3666833299850681,0.4742546095074483,0.29330289747172317,0.32395340463725536,0.10331773493803428,0.0009387496606823302,0.0009725069760208056,0.0007668942537508353,0.0009316870373434464,0.5,6251,4793,4793,6251,0.8280312644847471,0.4114238556316993,0.3641955198018009,1.1683113080346963,0.023794374596232765,0,527.4173845009645,14747.14208984375,11796480
7,0.3818800020625323,0.3621392334426982,0.47323951998107566,0.2908381528799262,0.32167720217295315,0.09616259202559568,0.0010165005462640683,0.0010883379160138834,0.0008300429562203742,0.0010046778013823405,0.5,6251,4793,4793,6251,0.8660737297850897,0.6086300045312284,0.5539814006208296,1.5340177944070337,0.03770877385371215,0,528.92419143999,11558.16552734375,11796480
8,0.37849044846905305,0.35868175945716024,0.4692180414347132,0.2880549237108653,0.3191659157862641,0.09629975559992213,0.0010974749523501243,0.0012006073483434596,0.0009040327576441408,0.0010519371863357985,0.5,6251,4793,4793,6251,0.9600753834158788,0.33839211641926514,0.3924846554818646,1.1868446187738564,0.028544119401935197,0,529.5040536490269,11594.55224609375,11796480
9,0.3761385757065836,0.35634433181965863,0.46350146391024444,0.286756266241256,0.3161212048751517,0.0958332172946534,0.0012552011216233913,0.0013268692343032333,0.0010680517459775124,0.0012192398008655844,0.5,6251,4793,4793,6251,1.0783309912337353,0.5090462721175059,0.5165968156984988,1.7733163002216792,0.04406978438062521,0,528.6908661989728,11600.3359375,11796480
10,0.37872460141824044,0.3593027122708481,0.46750049637380797,0.28841885173017334,0.3185438019155846,0.09435814632484246,0.0011005191915307176,0.0011616944590201563,0.0009374159132779265,0.00108388471472914,0.5,6251,4793,4793,6251,1.045185422752407,0.5395513551943375,0.5012589676167449,1.6624209695758867,0.07065851293859784,0,527.4194261009106,13043.0,11796480
