round,loss,hier_loss,table_loss,row_loss,cell_loss,hard_loss,table_valid,row_valid,cell_valid,hard_hits,grad_norm_table,grad_norm_row,grad_norm_cell,grad_norm_hard,fp16_overflow_skips,seconds,peak_gpu_mib,round_communication_bytes
1,0.4656197063706985,0.441273226500298,0.5779453007117911,0.35529408781165045,0.39057198829160994,0.12173239969134485,6251,4793,4793,6251,0.06764936969357245,0.049227736867579114,0.027692015546167896,0.14270232004776404,0,420.7183886100538,11152.57373046875,11796480
2,0.4098188027069881,0.3884372531963343,0.5027863722288888,0.31245107374297965,0.34678506567957523,0.10690774564219661,6251,4793,4793,6251,0.620283114242331,0.35937155191750214,0.3652447652863002,1.2210265254202417,0,420.9221598210279,11124.0908203125,11796480
3,0.39842318341843275,0.3771419169934255,0.4897201013233855,0.3026224762781306,0.33432532382096314,0.10640633161607524,6251,4793,4793,6251,0.8534752563375172,0.47322335643800345,0.45463443194484343,1.2130039475370604,0,418.5965247360291,11193.45263671875,11796480
4,0.39029726808457516,0.36944330459461083,0.4812033881401639,0.29799992636834227,0.32871189440935883,0.10426981698373043,6251,4793,4793,6251,0.8866196888523652,0.5232704774957513,0.5065431302215295,1.7149140995603838,0,419.93744827306364,12541.95654296875,11796480
5,0.38959747380608956,0.3684892451251972,0.4797082639393496,0.2950466975908584,0.3277409300629985,0.10554114324834689,6251,4793,4793,6251,0.8280217743714897,0.5306142788294865,0.450173164278713,1.0357741100601299,0,420.0253918360686,11036.60009765625,11796480
6,0.3873147030858424,0.36677724918292076,0.47429087077124676,0.2933120105861085,0.3241145631073638,0.10268726880130888,6251,4793,4793,6251,0.8394061702507832,0.4137294852504624,0.3692841759882833,1.1965433261878904,0,420.80415527999867,14312.7138671875,11796480
7,0.38129543196170035,0.3622813247401073,0.4732545536145406,0.29089302221635316,0.32195339666943773,0.09507053553613898,6251,4793,4793,6251,0.8711407700316105,0.6172257987472654,0.5587113503595231,1.5552584232309676,0,420.58949496003333,11123.07568359375,11796480
8,0.37793341159843397,0.3588658589092636,0.469155556239701,0.28807443827168344,0.31954421087406937,0.09533776255066324,6251,4793,4793,6251,0.9653615161883862,0.3401983234361971,0.3939933304503477,1.2267323354804351,0,417.87397399090696,11157.08544921875,11796480
9,0.37553639430404356,0.3565437416508158,0.46350500029522107,0.2867881433617902,0.31649423654014136,0.0949632635063216,6251,4793,4793,6251,1.0901215580834502,0.5123178062700446,0.523095545257794,1.8345783569294636,0,420.20232569996733,11168.30322265625,11796480
10,0.3781967284710124,0.35950346789482934,0.46750601196361613,0.2884717929982704,0.3189034546268842,0.09346630320521518,6251,4793,4793,6251,1.0484047305472572,0.5477575280417473,0.5104271698627973,1.6851011096079402,0,418.38746546406765,12605.04541015625,11796480
