round,loss,hier_loss,table_loss,row_loss,cell_loss,hard_loss,table_valid,row_valid,cell_valid,hard_hits,grad_norm_table,grad_norm_row,grad_norm_cell,grad_norm_hard,fp16_overflow_skips,seconds,peak_gpu_mib,round_communication_bytes
1,0.43765783467891894,0.43765783467891894,0.5736004350706404,0.35311758572143503,0.38692194841682453,0.0,6251,4793,4793,0,0.06933286707669997,0.050323652993517966,0.027070426912303422,0.0,0,284.8519048449816,10973.8154296875,11796480
2,0.384241596413868,0.384241596413868,0.5009785387813501,0.3115555049766785,0.3399507160811866,0.0,6251,4793,4793,0,0.6433489063606099,0.39943373491356915,0.41452958367823045,0.0,0,284.3531862529926,10836.8916015625,11796480
3,0.37348561726549334,0.37348561726549334,0.4882246839029227,0.3030521097223591,0.32743313190779255,0.0,6251,4793,4793,0,1.0366886132843744,0.5464345666018849,0.5030275190988686,0.0,0,282.8661465450423,10835.7666015625,11796480
4,0.3663815992792637,0.3663815992792637,0.4796402999078277,0.2995080942361772,0.32225685678932536,0.0,6251,4793,4793,0,1.0158264161836073,0.5498748404426786,0.5387481447265575,0.0,0,284.7861588379601,12441.01513671875,11796480
5,0.36529584640824997,0.36529584640824997,0.47879173931075436,0.29677948874529625,0.3206493249623168,0.0,6251,4793,4793,0,0.9184972054923344,0.5241943374653754,0.4873156649521683,0.0,0,283.85825218993705,10876.89013671875,11796480
6,0.3630790235546258,0.3630790235546258,0.47295353648951,0.29496231249193317,0.3164687634788016,0.0,6251,4793,4793,0,0.9533795573968709,0.4583137597039786,0.3749653943608979,0.0,0,283.65845166600775,14086.68994140625,11796480
7,0.3589743184648866,0.3589743184648866,0.4715407749944025,0.29218146299774017,0.3153181054328362,0.0,6251,4793,4793,0,0.9989412445462729,0.7098315716984807,0.7113117709415241,0.0,0,285.70475830498617,10843.064453125,11796480
8,0.35515044483968117,0.35515044483968117,0.46666977084404604,0.289426672156162,0.3129016403496908,0.0,6251,4793,4793,0,0.9522500423911722,0.3906123285178837,0.4873809882122739,0.0,0,284.7794183950173,10836.8857421875,11796480
9,0.3533490377342451,0.3533490377342451,0.46096471371155845,0.28829055908052914,0.3105388037339498,0.0,6251,4793,4793,0,1.1129494283067056,0.5682708314598068,0.5642020846588,0.0,0,284.15776749607176,10840.8203125,11796480
10,0.35662027826132264,0.35662027826132264,0.46597164536321306,0.2900339864235594,0.31291283758732025,0.0,6251,4793,4793,0,1.0435600943369558,0.5433699450834539,0.5641396123609131,0.0,0,284.54989448399283,12407.68701171875,11796480
