/home/hj/anaconda3/envs/fede4rag-upstream/lib/python3.10/site-packages/torch/cuda/__init__.py:51: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
2026-07-27 11:14:07,855 INFO Progress 2560/413975
2026-07-27 11:14:11,242 INFO Progress 5120/413975
2026-07-27 11:14:14,638 INFO Progress 7680/413975
2026-07-27 11:14:18,727 INFO Progress 10240/413975
2026-07-27 11:14:22,516 INFO Progress 12800/413975
2026-07-27 11:14:26,204 INFO Progress 15360/413975
2026-07-27 11:14:29,979 INFO Progress 17920/413975
2026-07-27 11:14:33,892 INFO Progress 20480/413975
2026-07-27 11:14:37,406 INFO Progress 23040/413975
2026-07-27 11:14:41,860 INFO Progress 25600/413975
2026-07-27 11:14:45,279 INFO Progress 28160/413975
2026-07-27 11:14:49,083 INFO Progress 30720/413975
2026-07-27 11:14:53,211 INFO Progress 33280/413975
2026-07-27 11:14:57,013 INFO Progress 35840/413975
2026-07-27 11:15:01,021 INFO Progress 38400/413975
2026-07-27 11:15:05,119 INFO Progress 40960/413975
2026-07-27 11:15:08,960 INFO Progress 43520/413975
2026-07-27 11:15:14,864 INFO Progress 46080/413975
2026-07-27 11:15:18,467 INFO Progress 48640/413975
2026-07-27 11:15:22,132 INFO Progress 51200/413975
2026-07-27 11:15:25,966 INFO Progress 53760/413975
2026-07-27 11:15:30,211 INFO Progress 56320/413975
2026-07-27 11:15:35,920 INFO Progress 58880/413975
2026-07-27 11:15:39,635 INFO Progress 61440/413975
2026-07-27 11:15:43,235 INFO Progress 64000/413975
2026-07-27 11:15:47,007 INFO Progress 66560/413975
2026-07-27 11:15:51,036 INFO Progress 69120/413975
2026-07-27 11:15:54,866 INFO Progress 71680/413975
2026-07-27 11:15:58,671 INFO Progress 74240/413975
2026-07-27 11:16:04,008 INFO Progress 76800/413975
2026-07-27 11:16:07,777 INFO Progress 79360/413975
2026-07-27 11:16:11,813 INFO Progress 81920/413975
2026-07-27 11:16:15,814 INFO Progress 84480/413975
2026-07-27 11:16:19,601 INFO Progress 87040/413975
2026-07-27 11:16:23,337 INFO Progress 89600/413975
2026-07-27 11:16:27,317 INFO Progress 92160/413975
2026-07-27 11:16:31,494 INFO Progress 94720/413975
2026-07-27 11:16:35,389 INFO Progress 97280/413975
2026-07-27 11:16:40,817 INFO Progress 99840/413975
2026-07-27 11:16:44,337 INFO Progress 102400/413975
2026-07-27 11:16:48,433 INFO Progress 104960/413975
2026-07-27 11:16:52,401 INFO Progress 107520/413975
2026-07-27 11:16:56,400 INFO Progress 110080/413975
2026-07-27 11:17:00,463 INFO Progress 112640/413975
2026-07-27 11:17:06,207 INFO Progress 115200/413975
2026-07-27 11:17:09,767 INFO Progress 117760/413975
2026-07-27 11:17:13,496 INFO Progress 120320/413975
2026-07-27 11:17:17,360 INFO Progress 122880/413975
2026-07-27 11:17:21,380 INFO Progress 125440/413975
2026-07-27 11:17:25,051 INFO Progress 128000/413975
2026-07-27 11:17:28,643 INFO Progress 130560/413975
2026-07-27 11:17:33,906 INFO Progress 133120/413975
2026-07-27 11:17:37,081 INFO Progress 135680/413975
2026-07-27 11:17:41,013 INFO Progress 138240/413975
2026-07-27 11:17:44,983 INFO Progress 140800/413975
2026-07-27 11:17:49,363 INFO Progress 143360/413975
2026-07-27 11:17:53,553 INFO Progress 145920/413975
2026-07-27 11:17:57,166 INFO Progress 148480/413975
2026-07-27 11:18:01,743 INFO Progress 151040/413975
2026-07-27 11:18:05,481 INFO Progress 153600/413975
