/home/hj/anaconda3/envs/fede4rag-upstream/lib/python3.10/site-packages/torch/cuda/__init__.py:51: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
2026-07-27 11:26:28,206 INFO Progress 2560/458372
2026-07-27 11:26:32,369 INFO Progress 5120/458372
2026-07-27 11:26:36,036 INFO Progress 7680/458372
2026-07-27 11:26:39,806 INFO Progress 10240/458372
2026-07-27 11:26:43,475 INFO Progress 12800/458372
2026-07-27 11:26:46,352 INFO Progress 15360/458372
2026-07-27 11:26:50,168 INFO Progress 17920/458372
2026-07-27 11:26:53,774 INFO Progress 20480/458372
2026-07-27 11:26:57,860 INFO Progress 23040/458372
2026-07-27 11:27:01,951 INFO Progress 25600/458372
2026-07-27 11:27:06,345 INFO Progress 28160/458372
2026-07-27 11:27:09,526 INFO Progress 30720/458372
2026-07-27 11:27:13,903 INFO Progress 33280/458372
2026-07-27 11:27:17,802 INFO Progress 35840/458372
2026-07-27 11:27:21,193 INFO Progress 38400/458372
2026-07-27 11:27:24,674 INFO Progress 40960/458372
2026-07-27 11:27:28,453 INFO Progress 43520/458372
2026-07-27 11:27:32,267 INFO Progress 46080/458372
2026-07-27 11:27:37,111 INFO Progress 48640/458372
2026-07-27 11:27:40,239 INFO Progress 51200/458372
2026-07-27 11:27:43,908 INFO Progress 53760/458372
2026-07-27 11:27:47,895 INFO Progress 56320/458372
2026-07-27 11:27:51,476 INFO Progress 58880/458372
2026-07-27 11:27:55,477 INFO Progress 61440/458372
2026-07-27 11:27:58,939 INFO Progress 64000/458372
2026-07-27 11:28:02,882 INFO Progress 66560/458372
2026-07-27 11:28:06,545 INFO Progress 69120/458372
2026-07-27 11:28:10,303 INFO Progress 71680/458372
2026-07-27 11:28:13,791 INFO Progress 74240/458372
2026-07-27 11:28:17,754 INFO Progress 76800/458372
2026-07-27 11:28:21,284 INFO Progress 79360/458372
2026-07-27 11:28:26,489 INFO Progress 81920/458372
2026-07-27 11:28:29,992 INFO Progress 84480/458372
2026-07-27 11:28:33,892 INFO Progress 87040/458372
2026-07-27 11:28:38,081 INFO Progress 89600/458372
2026-07-27 11:28:42,139 INFO Progress 92160/458372
2026-07-27 11:28:45,970 INFO Progress 94720/458372
2026-07-27 11:28:49,318 INFO Progress 97280/458372
2026-07-27 11:28:53,114 INFO Progress 99840/458372
2026-07-27 11:28:56,850 INFO Progress 102400/458372
2026-07-27 11:29:00,825 INFO Progress 104960/458372
2026-07-27 11:29:05,131 INFO Progress 107520/458372
2026-07-27 11:29:09,982 INFO Progress 110080/458372
2026-07-27 11:29:14,095 INFO Progress 112640/458372
2026-07-27 11:29:17,871 INFO Progress 115200/458372
2026-07-27 11:29:21,725 INFO Progress 117760/458372
2026-07-27 11:29:25,766 INFO Progress 120320/458372
2026-07-27 11:29:29,900 INFO Progress 122880/458372
2026-07-27 11:29:33,751 INFO Progress 125440/458372
2026-07-27 11:29:37,493 INFO Progress 128000/458372
2026-07-27 11:29:41,248 INFO Progress 130560/458372
2026-07-27 11:29:44,980 INFO Progress 133120/458372
2026-07-27 11:29:48,537 INFO Progress 135680/458372
2026-07-27 11:29:53,666 INFO Progress 138240/458372
2026-07-27 11:29:57,160 INFO Progress 140800/458372
2026-07-27 11:30:01,950 INFO Progress 143360/458372
2026-07-27 11:30:05,041 INFO Progress 145920/458372
2026-07-27 11:30:08,580 INFO Progress 148480/458372
2026-07-27 11:30:12,555 INFO Progress 151040/458372
2026-07-27 11:30:16,418 INFO Progress 153600/458372
2026-07-27 11:30:19,509 INFO Progress 156160/458372
2026-07-27 11:30:22,946 INFO Progress 158720/458372
2026-07-27 11:30:26,962 INFO Progress 161280/458372
2026-07-27 11:30:30,836 INFO Progress 163840/458372
2026-07-27 11:30:35,167 INFO Progress 166400/458372
2026-07-27 11:30:39,123 INFO Progress 168960/458372
2026-07-27 11:30:43,617 INFO Progress 171520/458372
2026-07-27 11:30:46,907 INFO Progress 174080/458372
2026-07-27 11:30:50,821 INFO Progress 176640/458372
2026-07-27 11:31:00,228 INFO Progress 179200/458372
2026-07-27 11:31:04,221 INFO Progress 181760/458372
2026-07-27 11:31:08,277 INFO Progress 184320/458372
2026-07-27 11:31:11,861 INFO Progress 186880/458372
2026-07-27 11:31:15,415 INFO Progress 189440/458372
2026-07-27 11:31:19,808 INFO Progress 192000/458372
2026-07-27 11:31:23,533 INFO Progress 194560/458372
2026-07-27 11:31:28,526 INFO Progress 197120/458372
2026-07-27 11:31:32,494 INFO Progress 199680/458372
2026-07-27 11:31:36,518 INFO Progress 202240/458372
2026-07-27 11:31:40,185 INFO Progress 204800/458372
2026-07-27 11:31:43,905 INFO Progress 207360/458372
2026-07-27 11:31:48,156 INFO Progress 209920/458372
2026-07-27 11:31:52,124 INFO Progress 212480/458372
2026-07-27 11:31:55,894 INFO Progress 215040/458372
2026-07-27 11:31:59,500 INFO Progress 217600/458372
2026-07-27 11:32:03,062 INFO Progress 220160/458372
2026-07-27 11:32:08,684 INFO Progress 222720/458372
2026-07-27 11:32:13,796 INFO Progress 225280/458372
2026-07-27 11:32:17,041 INFO Progress 227840/458372
2026-07-27 11:32:20,708 INFO Progress 230400/458372
2026-07-27 11:32:24,637 INFO Progress 232960/458372
2026-07-27 11:32:28,250 INFO Progress 235520/458372
2026-07-27 11:32:32,109 INFO Progress 238080/458372
2026-07-27 11:32:36,413 INFO Progress 240640/458372
2026-07-27 11:32:40,346 INFO Progress 243200/458372
2026-07-27 11:32:46,808 INFO Progress 245760/458372
2026-07-27 11:32:50,012 INFO Progress 248320/458372
2026-07-27 11:32:53,913 INFO Progress 250880/458372
2026-07-27 11:32:58,337 INFO Progress 253440/458372
2026-07-27 11:33:02,324 INFO Progress 256000/458372
2026-07-27 11:33:05,899 INFO Progress 258560/458372
2026-07-27 11:33:09,621 INFO Progress 261120/458372
2026-07-27 11:33:13,377 INFO Progress 263680/458372
2026-07-27 11:33:17,240 INFO Progress 266240/458372
2026-07-27 11:33:21,172 INFO Progress 268800/458372
2026-07-27 11:33:24,832 INFO Progress 271360/458372
2026-07-27 11:33:29,415 INFO Progress 273920/458372
2026-07-27 11:33:33,506 INFO Progress 276480/458372
2026-07-27 11:33:37,310 INFO Progress 279040/458372
2026-07-27 11:33:43,174 INFO Progress 281600/458372
2026-07-27 11:33:49,410 INFO Progress 284160/458372
2026-07-27 11:33:53,091 INFO Progress 286720/458372
2026-07-27 11:33:56,826 INFO Progress 289280/458372
2026-07-27 11:34:00,527 INFO Progress 291840/458372
2026-07-27 11:34:06,469 INFO Progress 294400/458372
2026-07-27 11:34:10,347 INFO Progress 296960/458372
2026-07-27 11:34:14,833 INFO Progress 299520/458372
2026-07-27 11:34:22,073 INFO Progress 302080/458372
2026-07-27 11:34:25,351 INFO Progress 304640/458372
2026-07-27 11:34:28,990 INFO Progress 307200/458372
2026-07-27 11:34:33,024 INFO Progress 309760/458372
2026-07-27 11:34:37,369 INFO Progress 312320/458372
2026-07-27 11:34:41,049 INFO Progress 314880/458372
2026-07-27 11:34:44,783 INFO Progress 317440/458372
2026-07-27 11:34:48,411 INFO Progress 320000/458372
2026-07-27 11:34:55,200 INFO Progress 322560/458372
2026-07-27 11:34:58,461 INFO Progress 325120/458372
2026-07-27 11:35:02,520 INFO Progress 327680/458372
2026-07-27 11:35:06,144 INFO Progress 330240/458372
2026-07-27 11:35:10,086 INFO Progress 332800/458372
2026-07-27 11:35:13,668 INFO Progress 335360/458372
2026-07-27 11:35:17,750 INFO Progress 337920/458372
2026-07-27 11:35:21,253 INFO Progress 340480/458372
2026-07-27 11:35:25,486 INFO Progress 343040/458372
2026-07-27 11:35:30,703 INFO Progress 345600/458372
2026-07-27 11:35:34,257 INFO Progress 348160/458372
2026-07-27 11:35:38,472 INFO Progress 350720/458372
2026-07-27 11:35:43,253 INFO Progress 353280/458372
2026-07-27 11:35:47,319 INFO Progress 355840/458372
2026-07-27 11:35:51,181 INFO Progress 358400/458372
2026-07-27 11:35:54,834 INFO Progress 360960/458372
2026-07-27 11:35:58,278 INFO Progress 363520/458372
2026-07-27 11:36:03,928 INFO Progress 366080/458372
2026-07-27 11:36:07,835 INFO Progress 368640/458372
2026-07-27 11:36:13,062 INFO Progress 371200/458372
2026-07-27 11:36:16,278 INFO Progress 373760/458372
2026-07-27 11:36:20,105 INFO Progress 376320/458372
2026-07-27 11:36:24,182 INFO Progress 378880/458372
2026-07-27 11:36:29,668 INFO Progress 381440/458372
2026-07-27 11:36:33,086 INFO Progress 384000/458372
2026-07-27 11:36:37,254 INFO Progress 386560/458372
2026-07-27 11:36:40,647 INFO Progress 389120/458372
2026-07-27 11:36:44,439 INFO Progress 391680/458372
2026-07-27 11:36:50,797 INFO Progress 394240/458372
2026-07-27 11:36:54,252 INFO Progress 396800/458372
2026-07-27 11:36:58,256 INFO Progress 399360/458372
2026-07-27 11:37:02,203 INFO Progress 401920/458372
2026-07-27 11:37:05,620 INFO Progress 404480/458372
2026-07-27 11:37:09,082 INFO Progress 407040/458372
2026-07-27 11:37:12,393 INFO Progress 409600/458372
2026-07-27 11:37:16,211 INFO Progress 412160/458372
2026-07-27 11:37:20,361 INFO Progress 414720/458372
2026-07-27 11:37:27,876 INFO Progress 417280/458372
2026-07-27 11:37:33,674 INFO Progress 419840/458372
2026-07-27 11:37:37,464 INFO Progress 422400/458372
2026-07-27 11:37:41,307 INFO Progress 424960/458372
2026-07-27 11:37:45,979 INFO Progress 427520/458372
2026-07-27 11:37:50,159 INFO Progress 430080/458372
2026-07-27 11:37:53,825 INFO Progress 432640/458372
2026-07-27 11:37:59,244 INFO Progress 435200/458372
2026-07-27 11:38:03,567 INFO Progress 437760/458372
2026-07-27 11:38:07,060 INFO Progress 440320/458372
2026-07-27 11:38:10,723 INFO Progress 442880/458372
2026-07-27 11:38:14,795 INFO Progress 445440/458372
2026-07-27 11:38:19,526 INFO Progress 448000/458372
2026-07-27 11:38:24,205 INFO Progress 450560/458372
2026-07-27 11:38:27,798 INFO Progress 453120/458372
2026-07-27 11:38:32,541 INFO Progress 455680/458372
2026-07-27 11:38:36,833 INFO Progress 458240/458372
2026-07-27 11:38:37,489 INFO Progress 458372/458372
2026-07-27 11:38:37,511 INFO Complete count=458372 output=outputs/retrieval/index/oracle_structure/embeddings.npy
