/home/hj/anaconda3/envs/fede4rag-upstream/lib/python3.10/site-packages/torch/cuda/__init__.py:51: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
2026-07-27 11:38:44,877 INFO Progress 2560/458841
2026-07-27 11:38:48,886 INFO Progress 5120/458841
2026-07-27 11:38:52,823 INFO Progress 7680/458841
2026-07-27 11:38:56,750 INFO Progress 10240/458841
2026-07-27 11:39:06,131 INFO Progress 12800/458841
2026-07-27 11:39:19,520 INFO Progress 15360/458841
2026-07-27 11:39:26,148 INFO Progress 17920/458841
2026-07-27 11:39:29,728 INFO Progress 20480/458841
2026-07-27 11:39:34,345 INFO Progress 23040/458841
2026-07-27 11:39:46,413 INFO Progress 25600/458841
2026-07-27 11:39:50,548 INFO Progress 28160/458841
2026-07-27 11:39:54,077 INFO Progress 30720/458841
2026-07-27 11:39:59,428 INFO Progress 33280/458841
2026-07-27 11:40:06,509 INFO Progress 35840/458841
2026-07-27 11:40:10,003 INFO Progress 38400/458841
2026-07-27 11:40:13,269 INFO Progress 40960/458841
2026-07-27 11:40:18,770 INFO Progress 43520/458841
2026-07-27 11:40:22,269 INFO Progress 46080/458841
2026-07-27 11:40:26,045 INFO Progress 48640/458841
2026-07-27 11:40:29,827 INFO Progress 51200/458841
2026-07-27 11:40:34,842 INFO Progress 53760/458841
2026-07-27 11:40:38,471 INFO Progress 56320/458841
2026-07-27 11:40:43,814 INFO Progress 58880/458841
2026-07-27 11:40:47,267 INFO Progress 61440/458841
2026-07-27 11:40:50,984 INFO Progress 64000/458841
2026-07-27 11:41:00,156 INFO Progress 66560/458841
2026-07-27 11:41:04,150 INFO Progress 69120/458841
2026-07-27 11:41:07,852 INFO Progress 71680/458841
2026-07-27 11:41:11,657 INFO Progress 74240/458841
2026-07-27 11:41:15,359 INFO Progress 76800/458841
2026-07-27 11:41:23,308 INFO Progress 79360/458841
2026-07-27 11:41:26,724 INFO Progress 81920/458841
2026-07-27 11:41:30,592 INFO Progress 84480/458841
2026-07-27 11:41:36,632 INFO Progress 87040/458841
2026-07-27 11:41:40,122 INFO Progress 89600/458841
2026-07-27 11:41:45,669 INFO Progress 92160/458841
2026-07-27 11:41:49,503 INFO Progress 94720/458841
2026-07-27 11:41:54,312 INFO Progress 97280/458841
2026-07-27 11:41:58,256 INFO Progress 99840/458841
2026-07-27 11:42:02,491 INFO Progress 102400/458841
2026-07-27 11:42:06,582 INFO Progress 104960/458841
2026-07-27 11:42:11,711 INFO Progress 107520/458841
